,countryterritoryCode,cases,deaths,CountryName,CountryCode,Date,StringencyIndex,StringencyIndexForDisplay,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls
0,FRA,11533,150,France,FRA,2020-12-14,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
1,FRA,13947,194,France,FRA,2020-12-13,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
2,FRA,13406,627,France,FRA,2020-12-12,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
3,FRA,13750,292,France,FRA,2020-12-11,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
4,FRA,14595,296,France,FRA,2020-12-10,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
5,FRA,13713,831,France,FRA,2020-12-09,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
6,FRA,3411,366,France,FRA,2020-12-08,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
7,FRA,11022,174,France,FRA,2020-12-07,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
8,FRA,12923,214,France,FRA,2020-12-06,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
9,FRA,11221,627,France,FRA,2020-12-05,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
10,FRA,12696,324,France,FRA,2020-12-04,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
11,FRA,14064,310,France,FRA,2020-12-03,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
12,FRA,8083,775,France,FRA,2020-12-02,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
13,FRA,4005,406,France,FRA,2020-12-01,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
14,FRA,9784,198,France,FRA,2020-11-30,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
15,FRA,12500,213,France,FRA,2020-11-29,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
16,FRA,12539,957,France,FRA,2020-11-28,75.0,75.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
17,FRA,13563,339,France,FRA,2020-11-27,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
18,FRA,16282,381,France,FRA,2020-11-26,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
19,FRA,9155,1005,France,FRA,2020-11-25,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
20,FRA,4452,500,France,FRA,2020-11-24,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
21,FRA,13157,214,France,FRA,2020-11-23,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
22,FRA,17881,253,France,FRA,2020-11-22,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
23,FRA,22882,1138,France,FRA,2020-11-21,78.7,78.7,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0
