,Unnamed: 0,Country,start,end,Length_days,Level,population,sum_cases,sum_deaths
0,0,Mongolia,2020-03-10,2020-03-16,6,National,3278292,304.0,0.0
1,1,Hungary,2020-03-28,2020-04-10,13,National,9660350,6132.0,615.0
2,2,Lebanon,2020-03-15,2020-03-28,13,National,6825442,17286.0,167.0
3,3,Samoa,2020-03-26,2020-04-08,13,National,198410,,
4,4,Papua New Guinea,2020-03-24,2020-04-07,14,National,8947027,459.0,5.0
5,5,Portugal,2020-03-19,2020-04-02,14,National,10196707,57991.0,1822.0
6,6,Trinidad and Tobago,2020-03-17,2020-03-31,14,National,1399491,1759.0,22.0
7,7,Ecuador,2020-03-16,2020-03-31,15,National,17643060,113754.0,6556.0
8,8,Congo,2020-03-31,2020-04-20,20,National,5518092,3979.0,78.0
9,9,Iraq,2020-03-22,2020-04-11,20,National,40222503,234880.0,7040.0
10,10,El Salvador,2020-03-12,2020-04-02,21,National,6486201,25820.0,724.0
11,11,Eritrea,2020-04-02,2020-04-23,21,National,3546427,318.0,0.0
12,12,Georgia,2020-03-31,2020-04-21,21,National,3989175,1475.0,19.0
13,13,Kuwait,2020-05-10,2020-05-31,21,National,4270563,85048.0,531.0
14,14,Vietnam,2020-04-01,2020-04-22,21,National,97338583,1023.0,34.0
15,15,United Arab Emirates,2020-03-26,2020-04-17,22,National,9890400,70186.0,384.0
16,16,Czech Republic,2020-03-16,2020-04-12,27,National,10708981,24592.0,424.0
17,17,Austria,2020-03-16,2020-04-13,28,National,9006400,27305.0,733.0
18,18,Bermuda,2020-04-04,2020-05-02,28,National,62162,172.0,9.0
19,19,Botswana,2020-04-02,2020-04-30,28,National,2351625,1724.0,6.0
20,20,Germany,2020-03-23,2020-04-20,28,National,83783945,242752.0,9302.0
21,21,Tunisia,2020-03-22,2020-04-19,28,National,11818618,3802.0,77.0
22,22,Poland,2020-03-13,2020-04-11,29,National,37846605,67366.0,2039.0
23,23,Rwanda,2020-03-21,2020-04-19,29,National,12952209,4063.0,16.0
24,24,Croatia,2020-03-18,2020-04-19,32,National,4105268,10257.0,186.0
25,25,Denmark,2020-03-12,2020-04-13,33,National,5792203,16954.0,624.0
